Leidimo serija ir nr.,Regionas,Rajonas,Nuosavybės forma,Urėdija,Girininkija,Kvartalas,Sklypai,Plotas,Kad. vietovė,Kad. blokas,Kad. nr.,Kirtimo rūšis,Galiojimo pradžia,Galiojimo pabaiga
A - 42596,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Druskininkų miškų urėdija,Grūto girininkija,97,"15-19,21,26,27",6.5,3878,0005,0214,Atrankinis san.kirt.,4104-04-01,4104-12-31
A - 42597,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Veisiejų miškų urėdija,Baltašiškės girininkija,66,14a,1.7,5908,0004,0077,Plynas kirtimas,4104-04-01,4104-12-31
A - 42598,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Veisiejų miškų urėdija,Leipalingio girininkija,647,22,0.1,5925,0009,0272,Ribinių linijų prakirtimas,4104-07-01,4104-12-31
A - 42598,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Veisiejų miškų urėdija,Leipalingio girininkija,647,22,0.8,5925,0009,0272,Atrankinis san.kirt.,4104-07-01,4104-12-31
A - 42599,Alytaus,Druskininkų miesto kontroliuojama teritorija,privati,Veisiejų miškų urėdija,Leipalingio girininkija,654,"8,11",0.7,5935,0004,0185,Atrankinis san.kirt.,4104-07-01,4104-12-31
C - 2092,Alytaus,Varėnos rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,616,13,2.7,3863,0009,0266,Plynas kirtimas,2121-05-07,2121-12-31
C - 2092,Alytaus,Varėnos rajono kontroliuojama teritorija,privati,Varėnos miškų urėdija,Perlojos girininkija,617,5,0.2,3863,0009,0266,Plynas kirtimas,2121-05-07,2121-12-31
B - 20514,Kauno,Ukmergės rajono kontroliuojama teritorija,valstybinė,Ukmergės miškų urėdija,Šešuolių girininkija,25,"6e,15",0.9,0,0,0,Plynas kirtimas,3993-03-01,3993-12-31
B - 20514,Kauno,Ukmergės rajono kontroliuojama teritorija,valstybinė,Ukmergės miškų urėdija,Šešuolių girininkija,67,4e,1.3,0,0,0,Plynas kirtimas,3993-03-01,3993-12-31
B - 20514,Kauno,Ukmergės rajono kontroliuojama teritorija,valstybinė,Ukmergės miškų urėdija,Šešuolių girininkija,71,"4e,10e,11,16",4.9,0,0,0,Plynas kirtimas,3993-03-01,3993-12-31
A - 21890,Klaipėdos,Plungės rajono kontroliuojama teritorija,privati,Plungės miškų urėdija,3621,13,23,1.4,6880,0006,0027,Atrankinis kirtimas,4004-06-01,4004-12-31
A - 42029,Šiaulių,Kelmės rajono kontroliuojama teritorija,privati,Tytuvėnų miškų urėdija,Kražių girininkija,770,7,1.3,5450,0005,0157,Plynas kirtimas,2048-02-23,2048-12-31
A - 8811,Utenos,Zarasų rajono kontroliuojama teritorija,valstybinė,Zarasų miškų urėdija,Smalvų girininkija,796,"14c,24a",0.2,0,0,0,Kiti pagrindiniai kirtimai,2207-02-20,2207-12-31
A - 47487,Vilniaus,Trakų rajono kontroliuojama teritorija,privati,Trakų miškų urėdija,Ropėjų girininkija,146,16b,3.0,7954,9999,0999,Plynas kirtimas,4199-03-01,4199-12-31
